territorio,procedencia,porcentaje
Adeje,España,5.7
Adeje,Alemania,11.7
Adeje,Bélgica,5.1
Adeje,Dinamarca,1.5
Adeje,Francia,3.5
Adeje,Irlanda,4.6
Adeje,Italia,3.3
Adeje,Noruega,1.2
Adeje,Países Bajos,4.5
Adeje,Polonia,2.6
Adeje,Reino Unido,53.7
Adeje,Suecia,1.3
Adeje,Suiza,1.3
Agaete,España,55.1
Agaete,Alemania,16.0
Agaete,Bélgica,1.8
Agaete,Dinamarca,0.7
Agaete,Francia,5.5
Agaete,Irlanda,0.7
Agaete,Italia,3.0
Agaete,Noruega,1.0
Agaete,Países Bajos,2.2
Agaete,Polonia,1.7
Agaete,Reino Unido,9.5
Agaete,Suecia,1.3
Agaete,Suiza,1.4
Agulo,España,39.9
Agulo,Alemania,28.2
Agulo,Bélgica,2.2
Agulo,Dinamarca,4.6
Agulo,Francia,8.0
Agulo,Irlanda,0.5
Agulo,Italia,1.7
Agulo,Noruega,0.5
Agulo,Países Bajos,7.2
Agulo,Polonia,1.7
Agulo,Reino Unido,3.2
Agulo,Suecia,0.8
Agulo,Suiza,1.4
Agüimes,España,55.1
Agüimes,Alemania,16.0
Agüimes,Bélgica,1.8
Agüimes,Dinamarca,0.7
Agüimes,Francia,5.5
Agüimes,Irlanda,0.7
Agüimes,Italia,3.0
Agüimes,Noruega,1.0
Agüimes,Países Bajos,2.2
Agüimes,Polonia,1.7
Agüimes,Reino Unido,9.5
Agüimes,Suecia,1.3
Agüimes,Suiza,1.4
Alajeró,España,5.9
Alajeró,Alemania,4.5
Alajeró,Bélgica,0.3
Alajeró,Dinamarca,0.5
Alajeró,Francia,0.8
Alajeró,Irlanda,0.9
Alajeró,Italia,0.2
Alajeró,Noruega,0.4
Alajeró,Países Bajos,1.4
Alajeró,Polonia,0.2
Alajeró,Reino Unido,84.4
Alajeró,Suecia,0.2
Alajeró,Suiza,0.2
Antigua,España,9.6
Antigua,Alemania,7.2
Antigua,Bélgica,0.4
Antigua,Dinamarca,1.0
Antigua,Francia,7.1
Antigua,Irlanda,3.9
Antigua,Italia,2.8
Antigua,Noruega,0.2
Antigua,Países Bajos,2.4
Antigua,Polonia,4.1
Antigua,Reino Unido,59.9
Antigua,Suecia,0.6
Antigua,Suiza,0.9
Arafo,España,38.2
Arafo,Alemania,15.2
Arafo,Bélgica,3.2
Arafo,Dinamarca,0.4
Arafo,Francia,16.1
Arafo,Irlanda,0.4
Arafo,Italia,1.8
Arafo,Noruega,0.4
Arafo,Países Bajos,2.1
Arafo,Polonia,1.8
Arafo,Reino Unido,18.5
Arafo,Suecia,0.7
Arafo,Suiza,1.2
Arico,España,38.2
Arico,Alemania,15.2
Arico,Bélgica,3.2
Arico,Dinamarca,0.4
Arico,Francia,16.1
Arico,Irlanda,0.4
Arico,Italia,1.8
Arico,Noruega,0.4
Arico,Países Bajos,2.1
Arico,Polonia,1.8
Arico,Reino Unido,18.5
Arico,Suecia,0.7
Arico,Suiza,1.2
Arona,España,6.3
Arona,Alemania,4.1
Arona,Bélgica,4.0
Arona,Dinamarca,2.1
Arona,Francia,2.8
Arona,Irlanda,8.5
Arona,Italia,5.6
Arona,Noruega,2.4
Arona,Países Bajos,5.4
Arona,Polonia,1.4
Arona,Reino Unido,54.4
Arona,Suecia,2.3
Arona,Suiza,0.8
Arrecife,España,44.2
Arrecife,Alemania,8.0
Arrecife,Bélgica,1.7
Arrecife,Dinamarca,0.2
Arrecife,Francia,12.3
Arrecife,Irlanda,3.5
Arrecife,Italia,7.3
Arrecife,Noruega,0.3
Arrecife,Países Bajos,1.6
Arrecife,Polonia,1.2
