territorio,fecha,IPV_central,IPV_alcista,IPV_pesimista,IPV_inf,IPV_sup
Adeje,2026-01-01,3.573404488264329,3.6054157127944686,3.5413932637341885,3.2516373624113233,3.8986206338676057
Adeje,2026-02-01,3.4748830037153695,3.5389054527756496,3.4108605546550894,3.042912900053926,3.905100315699005
Adeje,2026-03-01,3.6370654028633584,3.7330990764537786,3.5410317292729383,3.062104709859266,4.19429951520518
Adeje,2026-04-01,3.7531049801439536,3.881149878264514,3.6250600820233934,3.089379828493174,4.42617981745893
Adeje,2026-05-01,3.4384558593507735,3.5985119820014737,3.278399736700073,2.7636846640011483,4.138378598902651
Adeje,2026-06-01,3.4562232740432837,3.648290621224124,3.2641559268624425,2.682636205162568,4.216690970420679
Adeje,2026-07-01,3.8261129968775425,4.050191568588524,3.6020344251665612,2.890909616232446,4.756245063816038
Adeje,2026-08-01,4.038183916650737,4.294273712891858,3.7820941204096155,3.04484802855515,5.059500629655475
Adeje,2026-09-01,3.716196191785655,4.004297212556917,3.428095171014394,2.745719410258712,4.68953277989743
Adeje,2026-10-01,3.9897978221737542,4.309910067475156,3.669685576872353,2.8547809105090516,5.13327193863237
Adeje,2026-11-01,3.82544041374425,4.177563883575791,3.473316943912709,2.6977165077663363,4.974167557726989
Adeje,2026-12-01,3.936023389765791,4.320158084127472,3.5518886954041093,2.719728529749527,5.177113347162559
Agaete,2026-01-01,-0.27689243503755395,-0.27440967486333057,-0.2793751952117773,-0.3366540705908013,-0.21691899212869892
Agaete,2026-02-01,-0.3153769837367642,-0.3104114633883175,-0.32034250408521087,-0.3959915863558773,-0.2368744289455281
Agaete,2026-03-01,-0.2971030589746401,-0.2896547784519701,-0.3045513394973101,-0.39652035692066545,-0.20004501401625227
Agaete,2026-04-01,-0.3189063644688186,-0.3089753237719251,-0.32883740516571197,-0.42102385562239336,-0.21520304156430387
Agaete,2026-05-01,-0.3413391859340424,-0.32892538506292573,-0.3537529868051592,-0.45273209863971325,-0.23510582166748237
Agaete,2026-06-01,-0.37681500807298995,-0.3619184470276499,-0.3917115691183301,-0.4882463331421775,-0.2672629355592991
Agaete,2026-07-01,-0.3609801946160726,-0.343600873396509,-0.37835951583563604,-0.49365898691442694,-0.2231042623525735
Agaete,2026-08-01,-0.3821002632975327,-0.36223818190374596,-0.40196234469131953,-0.5150679722182738,-0.24724262585170623
Agaete,2026-09-01,-0.295916140409991,-0.2735712988419807,-0.3182609819780011,-0.46334561576635486,-0.13609139747110868
Agaete,2026-10-01,-0.29848445523652634,-0.27365685349429286,-0.3233120569787598,-0.4756984257267276,-0.11950199581524577
Agaete,2026-11-01,-0.22825858325192266,-0.20094822133546578,-0.2555689451683795,-0.4450756868570805,-0.015516511357083264
Agaete,2026-12-01,-0.2573226564826622,-0.22752953439198195,-0.2871157785733425,-0.4690023788126537,-0.0452448304097352
Agulo,2026-01-01,-0.7386814255224026,-0.7368356518550389,-0.7405271991897663,-0.7637509558891006,-0.7121358466325756
Agulo,2026-02-01,-0.7579500612312439,-0.7542585138965163,-0.761641608565971,-0.790095521891774,-0.723292636639667
Agulo,2026-03-01,-0.743332215297496,-0.737794894295405,-0.7488695362995871,-0.7878524163786366,-0.7002943482234292
Agulo,2026-04-01,-0.7668012465719616,-0.7594181519025068,-0.7741843412414162,-0.8097279327901413,-0.7236525180221206
Agulo,2026-05-01,-0.7863538344095796,-0.7771249660727612,-0.795582702746398,-0.8282219991516043,-0.7442362877779433
Agulo,2026-06-01,-0.7974629654147356,-0.7863883234105535,-0.8085376074189176,-0.8397672546463733,-0.7547236281775257
Agulo,2026-07-01,-0.774231903374012,-0.7613114877024661,-0.7871523190455577,-0.8289875176374475,-0.717732256567533
Agulo,2026-08-01,-0.7646530725396733,-0.7498868832007638,-0.7794192618785827,-0.831200240445328,-0.6993126103463149
Agulo,2026-09-01,-0.7782039971027435,-0.7615920340964704,-0.7948159601090165,-0.8369989770300139,-0.7167761641197097
Agulo,2026-10-01,-0.8150989452333741,-0.7966412085597374,-0.8335566819070108,-0.8621296563258131,-0.7685936974255604
Agulo,2026-11-01,-0.7635301262599923,-0.7432266159189919,-0.7838336366009927,-0.8438301875817953,-0.6844868676167983
Agulo,2026-12-01,-0.7672078815090162,-0.7450585975006522,-0.7893571655173803,-0.8449649316642146,-0.6876008603461589
Agüimes,2026-01-01,-0.4745443959868541,-0.4735245976191093,-0.47556419435459896,-0.4898300803411873,-0.45930555033082615
Agüimes,2026-02-01,-0.4848661776690149,-0.4828265809335254,-0.4869057744045047,-0.5053133736181639,-0.46432265594172895
Agüimes,2026-03-01,-0.47183263611364357,-0.468773241010409,-0.474892031216878,-0.49838406086687975,-0.4458187959627788
Agüimes,2026-04-01,-0.47736418700616595,-0.47328499353518655,-0.48144338047714513,-0.5069867840697798,-0.44792736916863624
Agüimes,2026-05-01,-0.49048669513765336,-0.4853877032989291,-0.49558568697637745,-0.5217746097327599,-0.4597404882403315
Agüimes,2026-06-01,-0.5082042512645295,-0.5020854610580607,-0.5143230414709986,-0.5397813307226476,-0.4770512065641557
Agüimes,2026-07-01,-0.5069771565172835,-0.4998385679430695,-0.5141157450914973,-0.5408607173141459,-0.4721217489377015
Agüimes,2026-08-01,-0.5024199832521662,-0.4942615963102075,-0.5105783701941248,-0.539324832778992,-0.46557655003369103
Agüimes,2026-09-01,-0.4811170097856524,-0.47193882447594887,-0.4902951950953559,-0.5236159366652628,-0.4388128077208488
Agüimes,2026-10-01,-0.4822245593658676,-0.4720265756884193,-0.49242254304331584,-0.5272675912303936,-0.4363516031646547
Agüimes,2026-11-01,-0.4616801208362488,-0.4504623387910556,-0.472897902881442,-0.514499054844725,-0.40879075175559354
Agüimes,2026-12-01,-0.46722206022288554,-0.45498447980994744,-0.4794596406358236,-0.5207281450780059,-0.4113931975030122
Alajeró,2026-01-01,-0.5272477821432487,-0.5229929099113598,-0.5315026543751378,-0.5876152456111421,-0.4648956073183721
Alajeró,2026-02-01,-0.5637137752669324,-0.5552040308031544,-0.5722235197307105,-0.6423232440417583,-0.4858066541916322
Alajeró,2026-03-01,-0.538373957837446,-0.5256093411417789,-0.5511385745331131,-0.6403850183797879,-0.4365883407147751
Alajeró,2026-04-01,-0.5958154893341924,-0.5787960004066363,-0.6128349782617485,-0.6944091346046123,-0.49746982800707074
Alajeró,2026-05-01,-0.6439634536649337,-0.6226890925054887,-0.6652378148243788,-0.7365300843564158,-0.5474816058113642
Alajeró,2026-06-01,-0.6370460845203857,-0.6115168511290515,-0.6625753179117198,-0.7448762996816503,-0.5277139648808983
Alajeró,2026-07-01,-0.5669846796596784,-0.5372005740364552,-0.5967687852829016,-0.7101912116374807,-0.42134373530043395
Alajeró,2026-08-01,-0.510157832575827,-0.47611885472071463,-0.5441968104309391,-0.693942085134135,-0.326640339864476
Alajeró,2026-09-01,-0.6096846615609782,-0.5713908114739771,-0.6479785116479795,-0.7549056679535935,-0.46597908397605564
Alajeró,2026-10-01,-0.571442256264612,-0.5288935339457218,-0.6139909785835023,-0.7477240015652953,-0.39919769730447785
Alajeró,2026-11-01,-0.5389288300439066,-0.4921252354931273,-0.5857324245946859,-0.7296521089122772,-0.3457175758785811
Alajeró,2026-12-01,-0.5323717060534813,-0.4813132392708129,-0.5834301728361495,-0.7346694854542852,-0.3314455845992705
Antigua,2026-01-01,0.7360759037186857,0.747390397498765,0.7247614099386067,0.5119255908004895,0.9571224180055794
Antigua,2026-02-01,0.7031515793999037,0.725780566960062,0.6805225918397453,0.3875237684491813,1.0068428886404472
Antigua,2026-03-01,0.7977691996163057,0.8317126809565432,0.763825718276068,0.39396698386918605,1.199569118814777
Antigua,2026-04-01,0.7416280088518364,0.7868859839721534,0.6963700337315197,0.3007790367487798,1.1880354262728117
Antigua,2026-05-01,0.6360240675498656,0.6925965364502616,0.5794515986494696,0.1809390218139103,1.0972355145703447
Antigua,2026-06-01,0.8139852662373741,0.881872228917849,0.7460983035568989,0.2458936422464642,1.3641369181030163
Antigua,2026-07-01,1.0219617699633554,1.10116322642391,0.9427603135028009,0.33405572802088096,1.7236660475876604
Antigua,2026-08-01,1.099919945098617,1.1904358953392509,1.0094039948579836,0.33325293766527525,1.8825663449228565
Antigua,2026-09-01,0.9724178773111275,1.0742483213318403,0.8705874332904144,0.21148122309033526,1.716052142916382
Antigua,2026-10-01,1.0701353902931598,1.1832803280939521,0.9569904524923681,0.1949653224698526,1.977049598517804
Antigua,2026-11-01,0.9332850099445538,1.057744441525425,0.8088255783636826,0.08682252930358905,1.7528865932914601
Antigua,2026-12-01,0.9258492299294803,1.061623155290431,0.7900753045685297,0.053257573141919076,1.7862015725195397
Arafo,2026-01-01,-0.1913232574938862,-0.18222689363118508,-0.20041962135658725,-0.2888610612262822,-0.09547302240619382
Arafo,2026-02-01,-0.11335091461209423,-0.09515818688669203,-0.13154364233749638,-0.2705185380825681,0.04292522966213081
Arafo,2026-03-01,-0.08529616140988827,-0.05800706982178492,-0.1125852529979916,-0.28135946402749856,0.11037730918969409
Arafo,2026-04-01,-0.15782639865998613,-0.12144094320918178,-0.1942118541107906,-0.36711905119750526,0.04464521003366355
Arafo,2026-05-01,-0.16658914466866662,-0.12110732535516108,-0.2120709639821721,-0.39911577687331395,0.06497676397900137
Arafo,2026-06-01,-0.25247084897064226,-0.1978926657944357,-0.30704903214684887,-0.47115154572800494,-0.031088015185987052
Arafo,2026-07-01,-0.19115651450281734,-0.12748196746390958,-0.25483106154172497,-0.43853154043756515,0.06581039417731359
Arafo,2026-08-01,-0.004100915949612766,0.06866999495199602,-0.07687182685122151,-0.3589854153922955,0.3494251384760865
Arafo,2026-09-01,-0.10340591803565255,-0.021538643271342618,-0.1852731927999624,-0.41818006230392596,0.23161020487504652
Arafo,2026-10-01,-0.12535155835733613,-0.03438791973032521,-0.2163151969843472,-0.45884363810123857,0.21188684640216351
Arafo,2026-11-01,-0.21219104863017535,-0.11213104614046324,-0.3122510511198875,-0.5280174740068576,0.08662770837561874
Arafo,2026-12-01,-0.26629653160941413,-0.15714016525700086,-0.3754528979618274,-0.5777614148940542,0.03204326324941779
Arico,2026-01-01,-0.2833656754459937,-0.2775148370700908,-0.2892165138218968,-0.3592458353769827,-0.2085015060633863
Arico,2026-02-01,-0.24957039375592388,-0.23786871700411782,-0.26127207050772977,-0.3691892970997687,-0.13788198536402682
Arico,2026-03-01,-0.22792501690657183,-0.2103725017788629,-0.24547753203428072,-0.3712074140159655,-0.08649918118016606
Arico,2026-04-01,-0.27706327941747266,-0.2536599259138607,-0.30046663292108466,-0.43030480762582074,-0.12763058376366354
Arico,2026-05-01,-0.298743030528496,-0.26948883864898104,-0.32799722240801094,-0.4641351400975531,-0.13498144224240405
Arico,2026-06-01,-0.3541143943086018,-0.31900936405318386,-0.38921942456401976,-0.5143004089811237,-0.19433965983875776
Arico,2026-07-01,-0.31180670217270473,-0.2708508335413838,-0.35276257080402557,-0.5049828212036428,-0.12695972043568154
Arico,2026-08-01,-0.2046016055362466,-0.1577948985290227,-0.25140831254347046,-0.4657419617099265,0.046838624931851466
Arico,2026-09-01,-0.2636612954265541,-0.21100375004342725,-0.31631884080968103,-0.4943259464054504,-0.029515024403819444
Arico,2026-10-01,-0.26583930578516063,-0.2073309220261307,-0.32434768954419047,-0.51575466328745,-0.006998494625707592
Arico,2026-11-01,-0.3000884451893721,-0.23572922305443927,-0.36444766732430506,-0.5416149177716544,-0.053211896777085856
Arico,2026-12-01,-0.32339550216624974,-0.2531854416554139,-0.39360556267708563,-0.5643691493876217,-0.07971932298300133
Arona,2026-01-01,3.1750290838693513,3.1979146104410776,3.152143557297625,2.9562039940137863,3.388078743946275
Arona,2026-02-01,3.013008748614597,3.05877980175805,2.967237695471145,2.714750646644406,3.313752337334318
Arona,2026-03-01,3.2289521282809166,3.2976087079960954,3.1602955485657382,2.8537648374635856,3.6168178449807966
Arona,2026-04-01,3.2630514240299773,3.354593530316882,3.1715093177430727,2.819469272057856,3.7205633142764625
Arona,2026-05-01,3.1374435327864827,3.251871165645113,3.023015899927852,2.6399203032404444,3.614239869923828
Arona,2026-06-01,3.1726848976523283,3.3099980570826855,3.035371738221971,2.6475947290359323,3.7036391961197332
Arona,2026-07-01,3.4644507608559825,3.624649446858065,3.3042520748538995,2.811124459371764,4.092640724941739
Arona,2026-08-01,3.5149168255421936,3.6980010381160033,3.331832612968384,2.852741474970417,4.195217045426118
Arona,2026-09-01,3.430413350401322,3.636383089546858,3.2244436112557873,2.74622095620827,4.1298258283820966
Arona,2026-10-01,3.5453578306348197,3.774213096352082,3.316502564917558,2.7622298428020624,4.306146461495226
Arona,2026-11-01,3.4677950471375003,3.7195358394264875,3.2160542548485123,2.704626562650311,4.2548114696110195
Arona,2026-12-01,3.4836176531191905,3.758243971979904,3.2089913342584753,2.6703449516981306,4.285490737370956
Arrecife,2026-01-01,0.44366893418162817,0.44758617719460364,0.43975169116865276,0.383612734267317,0.5017890541758561
Arrecife,2026-02-01,0.4224267156309142,0.4302612016568654,0.4145922296049633,0.33754369605659884,0.5027441839531739
Arrecife,2026-03-01,0.46414579565379555,0.475897524692722,0.45239406661486886,0.3617977822704196,0.5730445971659327
Arrecife,2026-04-01,0.45074922568270337,0.4664181977346054,0.43508025363080133,0.3311341013534169,0.5697159184101371
Arrecife,2026-05-01,0.4293675594899036,0.44895377455478125,0.40978134442502595,0.2961839543446776,0.5589103656286435
Arrecife,2026-06-01,0.41218296453906583,0.4356864226169191,0.38867950646121263,0.27069816772751837,0.5537335567011045
Arrecife,2026-07-01,0.45659330222079153,0.48401400331162026,0.4291726011299627,0.29835279413445304,0.6109822377010848
Arrecife,2026-08-01,0.4751917860795505,0.5065297301833546,0.44385384197574645,0.29991512921937297,0.6473235229605853
Arrecife,2026-09-01,0.44696574827969127,0.48222093539647104,0.4117105611629114,0.2701803022270661,0.627678781320494
Arrecife,2026-10-01,0.440271302302084,0.4794437324318393,0.40109887217232865,0.2553211686293927,0.6244271806364644
Arrecife,2026-11-01,0.4349784957795014,0.47806816892223236,0.3918888226367706,0.23913408557808036,0.6279791210767253
Arrecife,2026-12-01,0.4559442998741497,0.502951216029856,0.40893738371844346,0.24922096560074686,0.6658927772707206
