territorio,fecha,factor_1_sube,factor_2_sube,factor_3_sube,factor_1_sube_valor,factor_2_sube_valor,factor_3_sube_valor,factor_1_baja,factor_2_baja,factor_3_baja,factor_1_baja_valor,factor_2_baja_valor,factor_3_baja_valor
Adeje,2025-12-01,Inercia de la presión,Estacionalidad,Pernoctaciones,0.36172748,0.0045776074,0.0020516303,Idx dep menores 15,Ingresos,VV reservadas,-0.0025655634,-0.0014660428278148174,-0.0013496861793100834
Agaete,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0026419368,0.0007037518,0.00057109434,Inercia de la presión,Plazas hotel/día,Idx dep menores 15,-0.05044756,-0.000460962881334126,-0.0002441582328174263
Agulo,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.002047832,0.0009948038,0.00054617657,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.10304622,-0.0005105047021061182,-0.00025148389977402985
Agüimes,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.001543483,0.00053190265,0.00051243213,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.12661876,-0.00042015034705400467,-0.00023611799406353384
Alajeró,2025-12-01,Estacionalidad,Estancia media hotel,Pernoctaciones,0.0027319342,0.0025050608,0.0008783843,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.047181956,-0.000650936970487237,-0.0003765741712413728
Antigua,2025-12-01,Inercia de la presión,Estacionalidad,VV reservadas,0.3001355,0.004195161,0.0005005973,Estancia media VV,Idx dep menores 15,Pernoctaciones,-0.0022540786,-0.0018298188224434853,-0.0012711940798908472
Arafo,2025-12-01,Inercia de la presión,Estacionalidad,Plazas hotel/día,0.07222202,0.0036893084,0.0009381987,Viajeros entrados,Pernoctaciones,Idx ancianidad,-0.0007980778,-0.0007739477441646159,-0.0005396390333771706
Arico,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.011485158,0.0027842252,0.00092877634,Viajeros entrados,Pernoctaciones,Idx dependencia,-0.0006359684,-0.0005752945435233414,-0.00027982471510767937
Arona,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.0892515,0.002486427,0.0007498568,Estancia media hotel,VV reservadas,Estancia media VV,-0.00091817504,-0.0005815288168378174,-0.0005392836756072938
Arrecife,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.001618262,0.00056783966,0.0005599621,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13311309,-0.0003263502730987966,-0.00023560730915050954
Artenara,2025-12-01,Inercia de la presión,Estacionalidad,Pernoctaciones,0.2842093,0.0060523488,0.0022487256,Plazas hotel/día,Estancia media hotel,Idx dep menores 15,-0.0013408532,-0.0009620619239285588,-0.0007760938606224954
Arucas,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017016632,0.0005518687,0.0005471696,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.12896995,-0.0003990984405390918,-0.000316622230457142
Barlovento,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017361396,0.00094599207,0.00048384062,Inercia de la presión,Tasa de reserva,Plazas hotel/día,-0.12079472,-0.0005336994654498994,-0.0005263958591967821
Betancuria,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros alojados,0.0017751777,0.00092055753,0.0009064171,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13316344,-0.0004874576989095658,-0.00039759170613251626
Breña Alta,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0016844892,0.00092808134,0.00047900752,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.13182648,-0.0004962079110555351,-0.00030848997994326055
Breña Baja,2025-12-01,Inercia de la presión,Estacionalidad,Viajeros entrados,0.045582313,0.0033261974,0.0008092411,Estancia media hotel,Plazas hotel/día,Idx ancianidad,-0.00064505666,-0.0004948857822455466,-0.0004921429790556431
Buenavista del Norte,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.11849757,0.0026946838,0.001877795,Viajeros entrados,Pernoctaciones,Idx ancianidad,-0.00081692514,-0.0005379887297749519,-0.0003266156418249011
Candelaria,2025-12-01,Estacionalidad,Plazas hotel/día,Tasa de reserva,0.0018407132,0.00074760866,0.00017616761,Inercia de la presión,Pernoctaciones,Estancia media hotel,-0.09465705,-0.00036606210051104426,-0.00020211523224133998
El Paso,2025-12-01,Estacionalidad,Pernoctaciones,Estancia media hotel,0.0018034388,0.0009287303,0.0006113504,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.124386884,-0.0005958477267995477,-0.0002994827809743583
El Pinar de El Hierro,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0018540057,0.0010110283,0.0005040895,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.11336269,-0.0005097457324154675,-0.00024810046306811273
El Rosario,2025-12-01,Estacionalidad,Plazas hotel/día,Idx ancianidad,0.002176197,0.000730812,0.00010008937,Inercia de la presión,Pernoctaciones,Idx dep menores 15,-0.06474808,-0.0003727248404175043,-0.00018917786655947566
El Sauzal,2025-12-01,Estacionalidad,Plazas hotel/día,Estancia media hotel,0.002995922,0.00066630694,0.0004380765,Inercia de la presión,Pernoctaciones,Idx dependencia,-0.0030592233,-0.0004942539380863309,-0.00028152018785476685
El Tanque,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.31537357,0.0049499543,0.0022834353,Idx ancianidad,Idx dep menores 15,Pernoctaciones,-0.0031394893,-0.0017855250043794513,-0.0010357254650443792
Fasnia,2025-12-01,Inercia de la presión,Estacionalidad,Plazas hotel/día,0.26344675,0.005076253,0.0010109309,Idx dep menores 15,Pernoctaciones,Idx reemplazo,-0.0010658207,-0.0008914817590266466,-0.0006344601279124618
Firgas,2025-12-01,Estacionalidad,Tasa de reserva,Viajeros entrados,0.0022699847,0.00062451576,0.0005937741,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.083096676,-0.0003818720579147339,-0.00024119326553773135
Frontera,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017958095,0.0006851513,0.0005139526,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.11752167,-0.0004962079110555351,-0.000396352814277634
Fuencaliente de La Palma,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.12394282,0.004818266,0.0011910836,Idx ancianidad,Plazas hotel/día,Estancia media VV,-0.00074947265,-0.0005706558004021645,-0.00044616585364565253
Garachico,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.116042666,0.0031682856,0.0017489146,Viajeros entrados,Estancia media VV,Idx reemplazo,-0.0008860124,-0.0006575621664524078,-0.00029416661709547043
Garafía,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017776128,0.000979258,0.0004991716,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.11453569,-0.00048797056660987437,-0.00029460262157954276
